period,year,admin_region,admin_dong_norm,resident_population,households,male_population,female_population,pop_20_39,pop_60_plus,pop_70_plus,is_candidate,avg_household_size,share_20_39_pct,share_60_plus_pct
201912,2019,서울특별시 강서구 우장산동(1150061500),우장산동,44578,16084,,,11355,8076,3260,True,2.7715742352648594,25.472206020907173,18.116559737987348
201912,2019,서울특별시 강서구 공항동(1150062000),공항동,27372,12722,,,9264,5502,2405,True,2.151548498663732,33.84480491012714,20.100832967996492
202012,2020,서울특별시 강서구 우장산동(1150061500),우장산동,43778,16183,,,10868,8425,3458,True,2.7051844528208613,24.825254694138607,19.244826168395086
202012,2020,서울특별시 강서구 공항동(1150062000),공항동,26939,12807,,,8811,5689,2453,True,2.103459045834309,32.70722743977134,21.11808159174431
202112,2021,서울특별시 강서구 우장산동(1150061500),우장산동,42923,16100,,,10291,8654,3548,True,2.666024844720497,23.975490995503577,20.161684877571464
202112,2021,서울특별시 강서구 공항동(1150062000),공항동,30842,14081,,,9608,6427,2699,True,2.1903273915204884,31.152324751961615,20.83846702548473
202212,2022,서울특별시 강서구 우장산동(1150061500),우장산동,42679,16205,,,9998,8987,3853,True,2.633693304535637,23.42604091004944,21.05719440474238
202212,2022,서울특별시 강서구 공항동(1150062000),공항동,30372,13958,,,9129,6544,2767,True,2.175956440750824,30.057289608850258,21.546160937705782
202312,2023,서울특별시 강서구 우장산동(1150061500),우장산동,43708,16801,,,10460,9402,4126,True,2.6015118147729304,23.931545712455385,21.51093621305024
202312,2023,서울특별시 강서구 공항동(1150062000),공항동,29461,13711,,,8523,6563,2843,True,2.148712712420684,28.929771562404532,22.27690845524592
202412,2024,서울특별시 강서구 우장산동(1150061500),우장산동,43428,16813,,,10202,9779,4444,True,2.583001249033486,23.491756470479874,22.5177304964539
202412,2024,서울특별시 강서구 공항동(1150062000),공항동,29463,13929,,,8447,6742,3036,True,2.11522722377773,28.66985710891627,22.882937922139632
202512,2025,서울특별시 강서구 우장산동(1150061500),우장산동,43655,17367,,,10604,10030,4773,True,2.513675361317441,24.290459283014545,22.9756041690528
202512,2025,서울특별시 강서구 공항동(1150062000),공항동,28684,13707,,,8043,6749,3150,True,2.0926533887794556,28.04002231209036,23.528796541625994
202604,2026,서울특별시 강서구 우장산동(1150061500),우장산동,43635,17444,,,10691,10110,4859,True,2.501433157532676,24.500973988770482,23.16947404606394
202604,2026,서울특별시 강서구 공항동(1150062000),공항동,28496,13739,,,7948,6805,3229,True,2.0740956401484825,27.89163391353172,23.880544637843908
